private score,public score,date
-1.37297,-1.37734,20/07/19
-1.37422,-1.37837,20/07/19
-1.37539,-1.37960,20/07/19
-1.35224,-1.35612,17/07/19
-1.58156,-1.58718,08/08/19
-1.58003,-1.58559,06/08/19
-1.56179,-1.56694,25/07/19
-1.52095,-1.52598,24/07/19
-1.59925,-1.61033,21/08/19
-1.57782,-1.58202,21/08/19
-1.57250,-1.57663,20/08/19
-1.31082,-1.31784,19/08/19
-1.48369,-1.48645,18/08/19
-1.48087,-1.48454,17/08/19
-1.53862,-1.54563,16/08/19
-1.58488,-1.58911,16/08/19
-1.43688,-1.44014,15/08/19
-1.48368,-1.48647,15/08/19
-1.47541,-1.47817,14/08/19
-1.61326,-1.61886,14/08/19
-1.60829,-1.61374,13/08/19
-1.47446,-1.47902,12/08/19
-1.63728,-1.64357,14/08/19
-1.63728,-1.64357,10/08/19
-1.64668,-1.64893,20/08/19
-1.62126,-1.62448,19/08/19
-1.64610,-1.65840,22/08/19
-1.66156,-1.66401,25/08/19
-1.66055,-1.66774,19/08/19
-1.65660,-1.66278,18/08/19
-1.66767,-1.67256,21/08/19
-1.61528,-1.61986,18/08/19
-1.66441,-1.67407,21/08/19
-1.67198,-1.67797,10/08/19
-1.65129,-1.65619,09/08/19
-1.67400,-1.67970,12/08/19
-1.67705,-1.68073,24/08/19
-1.64815,-1.65235,17/08/19
-1.63759,-1.64418,15/08/19
-1.58580,-1.59183,13/08/19
-1.51016,-1.51567,12/08/19
-1.67772,-1.68193,22/08/19
-1.68381,-1.68952,16/08/19
-1.68219,-1.68790,14/08/19
-1.68219,-1.68790,13/08/19
-1.66307,-1.66872,13/08/19
-1.67120,-1.67681,13/08/19
-1.67498,-1.68024,11/08/19
-1.57209,-1.57596,10/08/19
-1.79477,-1.80173,19/08/19
-1.83231,-1.83914,21/08/19
-1.81999,-1.82670,20/08/19
-1.86527,-1.87107,28/08/19
-1.87121,-1.87675,28/08/19
-1.88993,-1.89543,26/08/19
-1.87149,-1.87746,23/08/19
-1.82874,-1.83571,21/08/19
-1.81602,-1.82248,19/08/19
-1.71672,-1.72415,18/08/19
-1.75278,-1.75890,17/08/19
-1.63810,-1.64468,16/08/19
-1.75278,-1.75890,16/08/19
-1.72666,-1.73354,15/08/19
-1.67557,-1.68255,12/08/19
-1.63728,-1.64356,17/08/19
0.44200,0.44305,01/06/19
0.39506,0.39169,01/06/19
0.73778,0.73582,01/08/19
